category,brand,condition_score,duration_days,original_price,listed_price,sold_price,is_sold
Books,Oxford,7.5,1,161.33,28.59,28.5,1
Fashion,Chanel,6.7,45,3129.9,1760.5,1569.37,1
Tech,Apple,7.5,10,2150.02,1222.36,1206.54,1
Fashion,Adidas,6.1,16,496.65,159.64,157.7,1
Fashion,Nike,9.4,51,602.97,334.43,299.64,1
Books,Penguin,7.9,13,28.73,4.34,4.28,1
Books,Pearson,7.9,58,158.78,43.89,38.69,1
Fashion,Chanel,6.9,39,3993.96,2205.99,2021.62,1
Fashion,Gucci,5.3,10,4678.86,1661.27,1636.05,1
Books,Oxford,8.8,51,120.77,31.57,28.06,1
Books,Pearson,6.8,4,219.15,40.63,41.04,1
Fashion,Adidas,4.3,41,416.71,124.04,114.67,1
Tech,Asus,8.5,23,2762.13,1688.08,1597.48,1
Books,Oxford,7.6,7,136.04,24.32,24.25,1
Tech,Samsung,5.5,21,1665.28,795.56,754.28,1
Fashion,Adidas,8.8,44,275.6,135.01,120.53,1
Tech,Samsung,6.3,45,3512.13,2015.39,1832.13,1
Books,Oxford,9.0,48,49.09,12.48,11.11,1
Fashion,Adidas,7.5,34,688.13,281.07,266.25,1
Fashion,Gucci,5.2,32,5071.61,2047.58,1944.07,1
Books,Pearson,6.5,8,61.42,11.55,11.69,1
Fashion,Chanel,8.8,60,7511.13,5314.64,4683.89,1
Tech,Samsung,8.7,61,1558.46,1179.13,1029.84,1
Books,Pearson,5.7,57,115.8,24.94,21.67,1
Fashion,Nike,6.5,59,431.73,195.35,170.26,1
Fashion,Chanel,6.4,11,13069.6,5556.43,5517.33,1
Fashion,Gucci,8.9,23,6644.47,3640.89,3541.6,1
Books,Oxford,8.7,9,187.83,38.77,38.28,1
Fashion,Nike,4.1,16,205.61,52.02,51.23,1
Books,Pearson,6.1,47,65.32,14.66,13.1,1
Tech,Dell,6.4,54,4347.69,2512.23,2213.6,1
Tech,Asus,7.0,42,1653.01,989.69,919.57,1
Fashion,Chanel,4.3,54,6423.37,2939.64,2570.39,1
Books,Pearson,7.3,30,90.54,20.01,19.14,1
Fashion,Nike,6.9,36,508.28,208.72,189.92,1
Fashion,Chanel,6.7,64,4439.36,2674.61,2299.19,1
Tech,Samsung,7.9,17,2393.59,1384.62,1354.71,1
Tech,Samsung,7.6,41,4526.72,2760.03,2523.04,1
Tech,Sony,8.6,50,1687.23,1354.42,1214.57,1
Tech,Dell,6.7,52,4449.46,2661.52,2328.1,1
Tech,Apple,6.6,18,5230.77,2962.17,2866.04,1
Books,Penguin,5.4,23,22.93,3.04,2.88,1
Fashion,Adidas,5.1,14,794.48,222.44,217.11,1
Books,Penguin,6.0,29,78.8,10.89,10.36,1
Tech,Asus,8.3,52,3542.61,2561.23,2274.73,1
Fashion,Chanel,7.8,66,4083.27,2746.02,2350.95,1
Books,Penguin,6.3,13,52.94,7.12,6.99,1
Books,Pearson,7.8,33,70.34,17.54,16.44,1
Fashion,Adidas,5.9,28,609.46,218.14,208.16,1
Books,Penguin,5.0,60,48.34,7.08,6.12,1
Tech,Samsung,6.3,8,3404.63,1573.23,1583.01,1
Tech,Asus,7.1,44,3336.04,1927.43,1753.79,1
Fashion,Adidas,6.0,46,350.61,137.78,123.3,1
Books,Oxford,8.9,17,165.24,34.53,33.49,1
Tech,Dell,3.6,29,4010.08,1405.84,1317.29,1
Books,Pearson,8.2,63,210.35,59.74,50.62,1
Fashion,Adidas,7.4,54,332.53,155.11,135.81,1
Tech,Samsung,4.5,40,3665.38,1710.41,1600.5,1
Tech,Dell,7.0,32,2691.26,1418.83,1355.41,1
Tech,Apple,7.7,27,3830.69,2488.67,2338.7,1
Fashion,Adidas,8.5,9,331.61,123.87,124.59,1
Tech,Samsung,7.2,43,4240.38,2727.6,2454.48,1
Books,Oxford,8.3,18,149.72,30.88,30.2,1
Fashion,Adidas,8.0,4,482.04,181.75,181.08,1
Books,Pearson,7.7,29,132.32,31.27,29.89,1
Fashion,Chanel,8.0,35,6052.4,3474.47,3193.68,1
Books,Oxford,8.0,53,116.01,28.51,25.58,1
Tech,Apple,5.0,54,3763.04,2221.49,1945.04,1
Fashion,Adidas,6.7,10,330.01,105.46,106.43,1
Books,Pearson,6.3,15,54.92,10.16,10.03,1
Fashion,Nike,7.9,32,509.71,234.78,224.26,1
Books,Pearson,4.9,26,231.44,37.56,36.08,1
Tech,Dell,8.8,42,2841.64,1831.65,1673.01,1
Books,Penguin,4.6,54,40.05,5.35,4.72,1
Tech,Asus,8.4,33,2335.28,1452.17,1349.46,1
Tech,Samsung,4.6,7,1605.99,601.04,612.91,1
Tech,Apple,4.0,6,3867.08,1576.88,1552.21,1
Fashion,Gucci,7.7,24,8026.58,3965.29,3855.81,1
Fashion,Nike,4.3,43,181.06,56.98,52.16,1
Books,Pearson,4.2,33,60.29,10.06,9.57,1
Tech,Dell,6.2,40,3428.43,1796.74,1675.73,1
Books,Oxford,8.3,7,50.67,9.88,9.88,1
Fashion,Gucci,8.5,31,2663.21,1548.89,1477.28,1
Tech,Dell,4.0,60,3362.81,1427.3,1221.45,1
Tech,Dell,8.5,48,1382.97,906.16,816.34,1
Tech,Dell,8.9,49,1547.09,1065.4,961.04,1
Tech,Sony,8.5,56,539.27,435.87,384.61,1
Books,Oxford,7.1,40,177.82,36.8,33.75,1
Fashion,Gucci,6.6,37,4816.05,2513.05,2280.22,1
Tech,Asus,8.5,20,3646.49,2229.12,2114.75,1
Tech,Asus,4.5,32,3619.99,1456.19,1342.47,1
Fashion,Adidas,9.1,15,473.95,205.55,205.23,1
Books,Penguin,9.6,15,27.35,5.04,4.87,1
Tech,Samsung,4.5,26,2889.1,1197.88,1149.24,1
Fashion,Adidas,7.8,10,344.12,128.43,129.24,1
Tech,Asus,8.7,44,4064.65,2815.26,2507.08,1
Fashion,Nike,8.7,19,633.7,275.19,272.23,1
Tech,Samsung,9.0,40,4572.19,3250.15,2997.18,1
Tech,Samsung,7.9,30,4548.43,2842.09,2677.53,1
Books,Oxford,6.8,56,75.87,16.7,14.61,1
Books,Pearson,6.4,56,120.91,28.99,25.6,1
Books,Pearson,7.7,37,94.71,22.74,21.01,1
Tech,Dell,7.3,12,4391.51,2128.16,2085.62,1
Books,Oxford,6.6,1,170.3,27.59,27.72,1
Fashion,Adidas,8.7,25,212.7,94.74,90.5,1
Fashion,Chanel,3.5,58,4361.17,1794.92,1571.27,1
Tech,Sony,6.0,48,2409.32,1409.52,1279.24,1
Fashion,Nike,5.8,31,682.68,241.8,227.77,1
Books,Penguin,8.4,52,26.02,5.38,4.8,1
Books,Oxford,4.1,57,117.95,19.8,17.21,1
Fashion,Adidas,5.5,35,742.82,247.11,227.56,1
Tech,Apple,7.6,20,4925.26,3171.94,3112.58,1
Books,Pearson,7.1,39,126.46,30.05,27.42,1
Tech,Samsung,6.3,54,1817.33,1098.89,988.16,1
Fashion,Chanel,7.7,29,9865.79,5419.28,5086.63,1
Books,Pearson,4.9,26,121.95,20.93,19.72,1
Fashion,Nike,4.1,46,446.49,134.87,121.89,1
Books,Oxford,9.1,16,40.76,8.57,8.53,1
Tech,Samsung,9.3,63,4089.5,3241.34,2740.56,1
Tech,Dell,7.6,25,2316.44,1239.79,1196.75,1
Books,Oxford,5.3,4,152.95,21.35,20.98,1
Fashion,Adidas,7.2,24,256.52,98.6,93.81,1
Tech,Asus,5.0,47,2849.88,1338.1,1224.57,1
Books,Pearson,8.8,33,196.83,49.41,45.9,1
Tech,Samsung,7.3,36,827.85,480.37,453.32,1
Books,Penguin,6.8,48,59.7,10.36,9.27,1
Tech,Dell,7.4,36,2975.85,1660.78,1534.93,1
Tech,Sony,5.8,22,1104.68,573.34,546.73,1
Books,Oxford,7.6,40,97.84,22.4,20.19,1
Fashion,Nike,3.8,55,284.16,93.05,82.74,1
Tech,Apple,8.0,11,4182.99,2451.66,2402.85,1
Books,Oxford,4.3,52,105.14,16.77,14.96,1
Tech,Dell,6.1,16,1292.84,580.06,565.24,1
Tech,Sony,6.4,1,1214.39,577.25,583.16,1
Tech,Asus,8.6,36,1745.59,1144.39,1074.67,1
Books,Oxford,7.0,18,161.35,28.33,27.77,1
Books,Oxford,6.2,21,86.4,15.44,14.77,1
Tech,Apple,6.6,16,3417.13,1826.17,1773.74,1
Tech,Samsung,7.3,10,1745.54,876.82,877.34,1
Fashion,Gucci,5.7,48,7169.13,3392.67,3073.95,1
Books,Oxford,5.0,55,43.76,7.72,6.7,1
Fashion,Gucci,7.6,6,1345.55,610.83,622.28,1
Books,Penguin,6.8,55,59.21,10.61,9.43,1
Fashion,Chanel,7.3,15,14382.66,6965.5,6787.69,1
Books,Oxford,7.3,19,81.68,15.18,14.89,1
Tech,Apple,4.9,18,2402.31,1128.69,1079.39,1
Books,Pearson,3.5,34,186.27,26.84,24.75,1
Fashion,Adidas,7.3,54,351.59,166.22,144.58,1
Tech,Asus,5.1,64,2715.44,1445.55,1215.07,1
Tech,Dell,5.8,59,2619.11,1417.03,1246.8,1
Fashion,Adidas,5.3,27,586.44,187.91,175.48,1
Fashion,Gucci,7.2,56,6664.1,3790.58,3365.88,1
Tech,Apple,8.4,46,5313.53,4030.49,3668.89,1
Tech,Asus,6.1,38,1092.24,556.2,505.57,1
Fashion,Adidas,6.0,9,163.1,50.55,51.26,1
Tech,Apple,8.1,10,3318.93,2096.94,2100.0,1
Tech,Apple,5.5,49,2503.89,1547.5,1386.71,1
Books,Pearson,6.4,5,192.78,34.14,34.74,1
Books,Penguin,4.8,19,73.75,8.98,8.7,1
Tech,Asus,8.3,16,4346.62,2594.42,2514.12,1
Fashion,Nike,4.1,62,493.45,168.55,146.65,1
Fashion,Chanel,7.4,53,8629.81,5328.6,4757.74,1
Fashion,Nike,7.2,38,428.17,190.14,172.76,1
Fashion,Chanel,6.4,25,9709.25,4848.94,4558.3,1
Tech,Asus,5.2,30,3446.35,1570.57,1509.01,1
Tech,Samsung,7.6,31,2975.58,1734.89,1648.14,1
Fashion,Adidas,7.8,60,435.09,213.13,187.4,1
Books,Oxford,7.7,32,98.86,21.68,20.32,1
Tech,Asus,6.3,61,1278.08,761.6,649.28,1
Books,Oxford,8.9,50,82.77,21.46,19.01,1
Tech,Apple,7.7,30,4195.81,2874.5,2677.63,1
Books,Oxford,7.3,4,168.8,29.81,29.63,1
Fashion,Adidas,7.0,55,776.48,342.41,297.65,1
Books,Pearson,7.7,12,165.37,35.26,34.34,1
Fashion,Gucci,9.6,17,5750.84,3335.92,3242.04,1
Books,Pearson,5.7,22,169.34,30.85,29.38,1
Books,Oxford,7.6,1,182.04,32.33,32.6,1
Tech,Samsung,3.1,45,2632.32,991.83,895.25,1
Fashion,Chanel,5.5,27,1952.95,887.59,836.36,1
Books,Oxford,6.1,22,166.86,28.23,27.41,1
Books,Pearson,4.5,64,231.99,45.1,38.55,1
Books,Oxford,7.7,42,170.66,37.92,34.64,1
Fashion,Nike,7.7,22,197.61,83.25,81.3,1
Fashion,Adidas,7.5,52,681.39,322.55,280.62,1
Books,Penguin,7.3,17,41.16,6.37,6.29,1
Fashion,Gucci,8.0,63,3844.26,2493.29,2101.72,1
Tech,Samsung,4.1,26,2505.57,1008.9,972.79,1
Books,Oxford,5.5,26,186.4,32.19,30.91,1
Books,Pearson,7.5,47,229.83,56.54,50.33,1
Tech,Samsung,8.3,55,4147.96,3069.51,2698.78,1
Books,Pearson,7.6,19,118.45,26.54,25.87,1
Books,Pearson,7.8,61,171.24,46.6,39.59,1
Books,Pearson,7.8,37,131.74,31.62,28.87,1
Tech,Asus,8.4,26,4774.34,2953.25,2836.68,1
Fashion,Chanel,8.5,38,2589.26,1690.16,1577.95,1
Books,Penguin,6.8,24,57.25,8.27,8.0,1
Books,Oxford,4.0,58,165.18,27.09,23.91,1
Fashion,Gucci,8.0,32,2667.66,1454.05,1337.21,1
Tech,Apple,5.9,32,4276.36,2560.06,2407.79,1
Tech,Sony,8.9,51,888.57,710.44,623.62,1
Fashion,Chanel,7.9,2,14336.64,7084.97,7123.29,1
Books,Pearson,8.4,18,220.26,50.25,48.39,1
Books,Oxford,6.9,24,69.44,13.23,12.62,1
Fashion,Chanel,8.3,39,10653.13,6593.54,5967.74,1
Books,Penguin,8.9,39,55.83,10.96,10.09,1
Books,Pearson,6.8,39,122.51,27.4,25.18,1
Fashion,Adidas,8.3,5,280.22,107.6,106.85,1
Books,Penguin,9.2,36,23.22,4.65,4.32,1
Tech,Apple,8.4,15,3914.84,2620.81,2573.46,1
Fashion,Adidas,7.2,33,351.85,144.07,134.76,1
Books,Pearson,7.0,32,52.6,11.45,10.87,1
Books,Oxford,8.2,35,100.46,23.51,21.98,1
Tech,Samsung,6.2,21,4212.56,2121.7,2074.24,1
Books,Pearson,8.1,23,89.9,21.79,21.11,1
Tech,Samsung,8.3,16,2601.72,1450.73,1397.13,1
Fashion,Nike,4.4,34,612.48,195.51,183.88,1
Books,Pearson,7.0,39,231.05,51.95,48.69,1
Fashion,Nike,8.0,24,252.48,109.32,104.56,1
Books,Oxford,4.7,21,110.56,15.79,15.25,1
Fashion,Nike,7.2,34,511.06,210.35,197.76,1
Fashion,Adidas,6.4,51,326.67,136.19,120.33,1
Fashion,Chanel,7.8,9,9705.91,4822.82,4875.97,1
Books,Penguin,4.8,56,28.15,4.1,3.59,1
Tech,Asus,7.1,19,4950.99,2529.77,2424.63,1
Tech,Asus,9.3,45,2128.08,1594.74,1436.3,1
Books,Oxford,8.1,13,136.69,27.2,26.7,1
Books,Oxford,8.4,53,182.1,44.99,39.54,1
Books,Pearson,7.6,48,146.28,38.3,33.78,1
Books,Pearson,9.5,12,154.33,35.56,35.34,1
Tech,Sony,5.7,33,2415.29,1331.45,1253.36,1
Tech,Sony,5.7,56,2070.8,1249.19,1113.52,1
Tech,Dell,7.4,5,2932.21,1416.86,1418.13,1
Tech,Sony,5.5,12,981.93,443.76,440.79,1
Fashion,Gucci,7.0,21,7284.71,3583.82,3526.9,1
Fashion,Adidas,4.0,56,572.0,183.15,161.8,1
Tech,Dell,4.5,23,2689.86,1065.08,1003.77,1
Tech,Samsung,7.5,45,3548.41,2307.09,2052.56,1
Fashion,Nike,7.6,8,451.17,175.52,177.76,1
Books,Pearson,8.9,46,180.11,49.44,44.99,1
Fashion,Gucci,7.7,25,9801.89,4962.6,4827.36,1
Books,Oxford,6.1,62,178.18,38.26,33.29,1
Fashion,Adidas,5.4,44,488.59,167.55,153.47,1
Books,Pearson,6.0,44,210.15,46.29,41.95,1
Tech,Sony,8.4,46,808.74,602.03,552.28,1
Fashion,Gucci,8.5,54,9714.5,6354.71,5626.13,1
Tech,Samsung,8.9,25,4055.26,2732.43,2642.74,1
Fashion,Adidas,6.6,58,296.19,128.0,112.64,1
Tech,Dell,7.7,1,3381.82,1662.11,1671.68,1
Books,Pearson,9.0,4,175.96,39.44,39.28,1
Fashion,Chanel,4.8,20,10661.31,4268.58,4058.16,1
Tech,Samsung,5.5,10,3458.53,1425.18,1399.76,1
Fashion,Gucci,8.6,17,9306.21,4840.9,4758.42,1
Fashion,Chanel,4.8,53,13407.86,6428.13,5606.17,1
Fashion,Gucci,8.3,53,7520.55,4664.6,4201.72,1
Tech,Apple,6.5,20,4856.52,2707.32,2637.29,1
Tech,Samsung,8.3,52,2074.01,1446.55,1276.65,1
Books,Pearson,5.4,53,188.48,38.81,34.77,1
Tech,Samsung,7.8,22,3508.22,2004.54,1951.29,1
Fashion,Gucci,6.2,1,4187.45,1651.49,1622.4,1
Books,Penguin,5.2,8,57.79,6.42,6.4,1
Books,Penguin,5.1,30,70.89,9.06,8.62,1
Fashion,Gucci,4.6,44,7056.98,2838.97,2603.64,1
Tech,Dell,7.4,57,2739.61,1711.18,1473.08,1
Tech,Apple,5.2,23,2706.19,1359.24,1304.12,1
Fashion,Adidas,4.8,52,188.59,63.94,57.75,1
Tech,Samsung,7.6,54,2699.9,1840.98,1619.94,1
Books,Pearson,9.4,55,222.31,66.79,58.31,1
Books,Penguin,6.0,48,49.73,7.72,6.8,1
Tech,Apple,4.2,44,4694.74,2396.2,2161.6,1
Tech,Samsung,5.8,16,3345.87,1591.26,1542.21,1
Tech,Asus,6.2,35,3143.91,1678.43,1538.7,1
Fashion,Gucci,7.6,61,6627.32,4141.02,3603.22,1
Tech,Apple,6.6,27,4894.59,2825.52,2670.75,1
Tech,Sony,6.4,48,1215.56,763.86,684.38,1
Fashion,Gucci,8.1,60,6179.72,3978.84,3490.38,1
Books,Pearson,6.6,17,67.97,13.64,13.08,1
Fashion,Gucci,4.2,28,6482.26,2279.75,2121.02,1
Fashion,Gucci,7.7,3,7273.77,3284.14,3244.37,1
Tech,Sony,8.4,44,1704.17,1206.64,1112.51,1
Books,Pearson,7.4,19,127.53,27.22,26.48,1
Tech,Sony,5.4,34,951.52,498.4,455.94,1
Fashion,Chanel,7.0,37,7008.39,3693.4,3390.64,1
Tech,Asus,8.6,23,3285.99,1942.79,1837.5,1
Tech,Asus,5.5,23,1345.75,603.75,578.73,1
Books,Penguin,6.1,33,58.46,8.83,8.39,1
Tech,Sony,7.2,47,993.51,677.5,608.33,1
Tech,Samsung,6.7,39,2722.3,1617.2,1472.28,1
Books,Pearson,5.8,25,165.33,29.62,28.5,1
Tech,Sony,6.3,12,1598.03,834.37,826.43,1
Fashion,Nike,3.8,8,253.06,60.02,59.03,1
Fashion,Chanel,7.5,46,3826.84,2379.65,2175.19,1
Books,Penguin,8.6,35,69.77,13.68,12.89,1
Fashion,Nike,7.4,45,699.13,308.33,279.91,1
Books,Pearson,7.1,1,249.94,47.08,47.25,1
Fashion,Chanel,8.0,24,7454.43,4354.81,4142.44,1
Tech,Sony,7.0,46,1559.76,990.58,900.79,1
Fashion,Nike,9.0,30,262.1,125.5,118.77,1
Books,Penguin,7.3,36,26.73,4.35,4.04,1
Tech,Apple,6.2,52,2767.03,1796.39,1589.9,1
Tech,Asus,7.0,39,2738.01,1570.69,1462.15,1
Books,Pearson,7.9,42,183.28,45.99,42.5,1
Tech,Apple,6.4,51,4396.45,2916.78,2588.05,1
Fashion,Adidas,7.5,32,259.37,109.13,101.13,1
Fashion,Nike,9.3,20,660.22,308.53,293.93,1
Fashion,Nike,6.5,33,333.35,133.95,124.73,1
Fashion,Chanel,8.9,53,8535.1,5973.66,5368.91,1
Books,Penguin,6.0,21,72.72,9.55,9.1,1
Tech,Sony,7.1,42,1818.23,1146.81,1035.96,1
Tech,Apple,7.6,20,2847.77,1808.32,1721.7,1
Fashion,Adidas,8.1,21,659.54,277.75,266.6,1
Fashion,Chanel,9.1,44,4136.74,2865.09,2625.65,1
Tech,Asus,7.3,1,3652.02,1780.77,1783.92,1
Fashion,Chanel,4.1,45,10060.82,4176.57,3822.57,1
Fashion,Nike,7.3,18,466.65,177.44,175.28,1
Tech,Asus,9.3,41,1587.68,1130.46,1050.17,1
Tech,Sony,6.4,63,1331.92,874.76,738.77,1
Fashion,Chanel,9.1,32,12608.51,7726.35,7219.59,1
Fashion,Adidas,4.6,18,640.35,177.1,173.3,1
Tech,Sony,7.3,34,1322.99,805.95,760.36,1
Fashion,Chanel,8.1,54,8875.01,5742.64,5037.51,1
Books,Oxford,5.6,52,173.13,32.31,29.24,1
Tech,Dell,8.3,4,2890.64,1537.41,1533.13,1
Fashion,Adidas,6.7,15,444.48,147.27,144.42,1
Tech,Sony,9.2,16,544.56,365.14,360.9,1
Books,Penguin,8.7,35,43.05,8.26,7.59,1
Tech,Apple,9.4,30,5162.63,4027.58,3819.94,1
Fashion,Adidas,8.0,27,319.98,133.66,127.68,1
Fashion,Nike,5.5,36,161.39,54.98,51.82,1
Tech,Dell,7.4,33,4413.27,2427.64,2238.38,1
Fashion,Nike,5.0,41,295.15,104.06,95.75,1
Tech,Asus,8.6,18,3490.43,1967.66,1917.05,1
Tech,Samsung,6.9,22,3000.85,1578.19,1541.67,1
Fashion,Adidas,7.8,35,782.25,324.2,301.28,1
Books,Penguin,4.3,25,42.44,4.72,4.59,1
Books,Penguin,7.9,39,22.11,4.04,3.67,1
Fashion,Adidas,8.0,52,657.8,330.17,290.55,1
Tech,Apple,7.2,47,2334.18,1630.16,1460.96,1
Fashion,Nike,8.9,59,218.58,116.83,99.99,1
Tech,Samsung,7.1,40,991.75,575.01,517.37,1
Books,Pearson,6.5,15,199.43,37.91,37.08,1
Tech,Apple,8.1,48,5895.59,4601.8,4090.86,1
Tech,Samsung,8.3,62,3636.6,2694.92,2360.38,1
Fashion,Gucci,5.9,32,3878.31,1775.3,1675.39,1
Tech,Apple,8.0,10,3082.85,1946.91,1922.07,1
Books,Oxford,6.8,30,180.92,35.22,33.63,1
Fashion,Nike,8.2,36,680.94,327.76,306.44,1
Tech,Apple,8.4,14,2509.2,1604.5,1605.93,1
Fashion,Nike,6.0,21,544.03,191.17,183.48,1
Fashion,Nike,5.9,8,609.73,185.76,187.81,1
Fashion,Adidas,7.6,48,595.56,281.11,250.13,1
Books,Pearson,5.8,16,124.14,20.87,20.57,1
Books,Oxford,7.0,3,176.6,30.97,30.78,1
Books,Oxford,9.1,56,184.4,51.95,46.29,1
Fashion,Adidas,3.7,33,564.6,154.05,146.33,1
Books,Oxford,6.7,38,59.58,12.05,11.28,1
Tech,Asus,3.5,60,2115.06,907.99,792.23,1
Books,Pearson,8.7,45,162.34,45.22,40.49,1
Books,Oxford,7.9,35,155.27,35.52,33.46,1
Fashion,Chanel,5.4,3,5746.88,2248.89,2267.31,1
Books,Pearson,8.9,21,156.22,38.53,37.7,1
Fashion,Gucci,8.4,24,9700.64,5125.03,4912.28,1
Books,Pearson,6.5,53,110.47,25.01,21.8,1
Books,Penguin,9.2,54,45.43,9.94,8.68,1
Books,Oxford,9.1,25,64.98,15.74,14.83,1
Fashion,Chanel,4.2,10,7469.45,2659.17,2615.38,1
Tech,Dell,8.2,62,2219.44,1519.39,1335.63,1
Fashion,Chanel,8.1,38,5961.95,3590.79,3337.11,1
Fashion,Chanel,7.5,19,5785.42,2961.45,2856.01,1
Fashion,Adidas,8.4,25,678.4,287.98,278.26,1
Fashion,Gucci,6.2,48,6734.12,3416.89,3126.78,1
Tech,Sony,7.1,39,585.29,374.33,338.47,1
Tech,Apple,4.1,10,5196.89,2175.88,2143.62,1
Tech,Sony,3.2,49,798.6,348.35,306.14,1
Fashion,Nike,4.3,1,398.39,99.72,99.14,1
Books,Penguin,9.7,29,28.44,5.81,5.5,1
Books,Pearson,7.4,25,154.38,32.32,31.06,1
Tech,Asus,5.7,3,4603.61,1955.95,1980.53,1
Books,Oxford,8.1,46,131.69,30.86,27.53,1
Fashion,Gucci,8.2,37,5513.67,3110.48,2827.58,1
Fashion,Gucci,8.6,38,9893.57,6103.33,5637.19,1
Tech,Samsung,8.5,27,1140.79,748.49,717.27,1
Tech,Dell,8.1,36,2985.79,1841.85,1731.2,1
Tech,Apple,8.1,40,2189.88,1637.39,1493.75,1
Tech,Sony,6.5,27,1518.36,814.1,782.27,1
Tech,Apple,7.2,34,3796.14,2498.11,2320.2,1
Books,Oxford,8.6,4,111.38,22.36,22.7,1
Books,Pearson,3.6,41,124.48,19.15,17.69,1
Books,Pearson,5.7,9,51.58,8.64,8.53,1
Books,Pearson,9.0,1,225.31,49.32,50.16,1
Fashion,Gucci,9.5,24,2265.85,1336.78,1269.7,1
Tech,Dell,9.0,30,2215.3,1439.42,1349.99,1
Tech,Samsung,6.7,59,1288.18,816.99,713.67,1
Fashion,Adidas,7.3,7,278.86,94.39,96.13,1
Fashion,Chanel,6.6,25,2573.91,1320.61,1285.04,1
Fashion,Chanel,5.4,24,9635.57,4232.6,4102.29,1
Fashion,Chanel,7.6,55,12280.49,8071.54,7231.74,1
Tech,Dell,8.7,22,2814.2,1668.78,1624.97,1
Books,Penguin,9.4,1,40.61,6.9,7.02,1
Tech,Samsung,9.6,28,3851.11,2616.98,2498.4,1
Books,Penguin,6.5,29,31.16,4.49,4.28,1
Fashion,Chanel,6.1,54,3472.03,1927.84,1729.92,1
Fashion,Gucci,6.8,17,2653.45,1249.03,1220.83,1
Tech,Apple,4.6,31,3182.25,1518.61,1415.2,1
Tech,Asus,7.1,28,2188.0,1257.06,1176.48,1
Fashion,Nike,8.3,38,393.29,187.41,173.17,1
Tech,Samsung,7.9,40,1827.47,1215.62,1117.33,1
Books,Pearson,4.8,39,249.48,46.89,43.15,1
Fashion,Gucci,7.5,64,3214.39,1965.76,1656.74,1
Tech,Samsung,7.5,63,3180.04,2223.59,1896.68,1
Fashion,Chanel,9.1,20,6672.33,4151.69,4018.99,1
Fashion,Chanel,8.1,39,4590.11,2918.76,2660.11,1
Books,Oxford,8.6,18,42.49,9.37,9.02,1
Books,Pearson,8.0,29,59.79,13.83,13.03,1
Fashion,Nike,7.9,60,231.11,118.16,103.25,1
Books,Penguin,6.0,36,62.84,9.0,8.27,1
Tech,Sony,9.3,40,954.05,728.94,663.4,1
Tech,Samsung,4.1,32,4950.8,1971.87,1836.07,1
Books,Penguin,9.0,44,25.37,5.02,4.54,1
Books,Pearson,7.7,41,191.3,47.54,43.64,1
Books,Oxford,6.3,23,167.55,29.83,29.06,1
Books,Pearson,8.9,21,154.73,38.87,38.14,1
Tech,Asus,8.0,44,4746.34,3074.25,2753.05,1
Fashion,Gucci,6.5,1,2665.7,1098.26,1100.81,1
Books,Pearson,5.7,50,172.59,37.98,33.27,1
Fashion,Gucci,7.1,47,6554.32,3784.22,3441.68,1
Fashion,Nike,6.2,36,615.6,240.96,219.38,1
Tech,Dell,6.3,34,1785.8,887.44,820.85,1
Fashion,Nike,8.9,9,182.3,76.71,75.6,1
Tech,Apple,5.5,47,5366.9,3161.87,2872.14,1
Fashion,Nike,6.3,43,330.6,128.38,116.88,1
Tech,Samsung,4.3,52,2812.31,1349.23,1206.55,1
Books,Pearson,6.7,45,172.84,38.56,34.61,1
Fashion,Adidas,7.3,42,638.99,280.02,254.25,1
Tech,Sony,8.1,13,483.11,293.42,291.09,1
Fashion,Chanel,6.2,47,7862.29,4066.5,3587.07,1
Fashion,Adidas,7.8,18,170.29,64.12,61.32,1
Fashion,Chanel,5.8,66,14503.31,7917.39,6786.45,1
Tech,Sony,3.9,43,1898.17,858.14,783.72,1
Fashion,Gucci,9.2,36,3849.7,2446.76,2312.74,1
Fashion,Gucci,7.9,50,6972.01,4397.91,3895.64,1
Fashion,Gucci,9.3,19,3749.11,2258.3,2178.56,1
Books,Oxford,6.4,35,178.72,33.05,31.32,1
Tech,Dell,9.3,10,2899.36,1715.27,1722.34,1
Tech,Sony,4.8,13,897.45,394.5,392.97,1
Books,Oxford,7.4,29,153.72,32.3,30.54,1
Tech,Apple,6.2,3,2111.75,1096.78,1098.27,1
Tech,Samsung,8.4,32,3984.15,2583.42,2418.69,1
Fashion,Gucci,7.9,9,9951.31,4884.29,4884.9,1
Books,Oxford,7.1,45,42.26,9.01,8.02,1
Books,Pearson,6.2,33,109.86,23.07,21.54,1
Books,Penguin,8.6,53,68.47,14.61,12.98,1
Tech,Samsung,6.3,13,3525.91,1664.42,1625.38,1
Books,Oxford,5.8,19,155.95,24.99,24.44,1
Tech,Dell,4.4,4,2852.4,950.8,968.68,1
Books,Penguin,7.7,39,49.3,8.49,7.95,1
Tech,Asus,7.6,19,2679.04,1429.88,1398.05,1
Tech,Samsung,8.8,63,3648.32,2855.31,2469.28,1
Tech,Apple,7.9,23,2320.96,1582.88,1532.42,1
Books,Oxford,6.4,55,59.82,12.39,10.92,1
Books,Oxford,9.0,45,172.02,44.26,39.6,1
Books,Penguin,7.8,5,74.58,11.07,11.24,1
Fashion,Adidas,8.3,31,782.77,347.05,325.5,1
Tech,Sony,8.4,55,417.79,331.27,294.65,1
Tech,Samsung,6.3,53,1509.22,912.1,799.4,1
Tech,Asus,6.7,6,4897.4,2229.8,2201.99,1
